"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A4EL6MMU","journalArticle","2019","Abella, Alberto; Ortiz-de-Urbina-Criado, Marta; De-Pablos-Heredero, Carmen","The process of open data publication and reuse","Journal of the Association for Information Science and Technology","","2330-1643","10.1002/asi.24116","https://onlinelibrary.wiley.com/doi/abs/10.1002/asi.24116","Open data movement advocates support to public authorities by making available to society the public information they manage. The data released are identified as open government data and the creation of open data portals supports their commitment through open government policies. The worldwide increase of the open data publication is making more necessary the modelling of its impact on society. This research analyses the process of open data publication starting in the internal systems of the organization and reaching the actual reuse of data in reuser's ecosystem surrounding the open data portals. Different reuser's profiles are identified and described within the reuser's ecosystem. Some key elements of the publication process are presented in order to guarantee sustainability of open data initiatives and to further analyse the social and economic impact.","2019","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 17:02:03","296-300","","3","70","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/asi.24116","","/Users/timdavies/Zotero/storage/SFBTMEHM/asi.html; /Users/timdavies/Zotero/storage/XXHMVJ7Y/Abella et al_2019_The process of open data publication and reuse.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PV49WYQ9","bookSection","2017","Adel Rezk, Mohamed; Ojo, Adegboyega; Hassan, Islam A.","Mining Governmental Collaboration Through Semantic Profiling of Open Data Catalogues and Publishers","Collaboration in a Data-Rich World","","","","","","2017","2021-12-08 11:37:38","2021-12-08 11:37:38","","253-264","","","","","","","","","","","","","","","","","","Dimensions","","DOI: 10.1007/978-3-319-65151-4_24","","/Users/timdavies/Zotero/storage/AHVWZSRF/Adel Rezk et al_2017_Mining Governmental Collaboration Through Semantic Profiling of Open Data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3P7IVC9","conferencePaper","2007","Alani, Harith; Dupplaw, David; Sheridan, John; O’Hara, Kieron; Darlington, John; Shadbolt, Nigel; Tullo, Carol","Unlocking the Potential of Public Sector Information with Semantic Web Technology","The Semantic Web","978-3-540-76298-0","","10.1007/978-3-540-76298-0_51","","Governments often hold very rich data and whilst much of this information is published and available for re-use by others, it is often trapped by poor data structures, locked up in legacy data formats or in fragmented databases. One of the great benefits that Semantic Web (SW) technology offers is facilitating the large scale integration and sharing of distributed data sources. At the heart of information policy in the UK, the Office of Public Sector Information (OPSI) is the part of the UK government charged with enabling the greater re-use of public sector information. This paper describes the actions, findings, and lessons learnt from a pilot study, involving several parts of government and the public sector. The aim was to show to government how they can adopt SW technology for the dissemination, sharing and use of its data.","2007","2021-12-08 11:37:38","2021-12-08 11:37:38","","708-721","","","","","","","Lecture Notes in Computer Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","/Users/timdavies/Zotero/storage/CUWZMS2V/Alani et al_2007_Unlocking the Potential of Public Sector Information with Semantic Web.pdf","","","Local Ontology; Ordnance Survey; Reference Ontology; SPARQL Query; Triple Store","Aberer, Karl; Choi, Key-Sun; Noy, Natasha; Allemang, Dean; Lee, Kyung-Il; Nixon, Lyndon; Golbeck, Jennifer; Mika, Peter; Maynard, Diana; Mizoguchi, Riichiro; Schreiber, Guus; Cudré-Mauroux, Philippe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VURPF65Y","conferencePaper","2017","Alexopoulos, Charalampos; Diamantopoulou, Vasiliki; Charalabidis, Yannis","Tracking the Evolution of OGD Portals: A Maturity Model","Electronic Government","978-3-319-64677-0","","10.1007/978-3-319-64677-0_24","","Since its inception, open government data (OGD) as a free re-useable object has attracted the interest of researchers and practitioners, civil servants, citizens and businesses for different reasons in each target group. This study was designed to aggregate the research outcomes and developments through the recent years towards illustrating the evolutionary path of OGD portals, by presenting an analysis of their characteristics in terms of a maturity model. A four-step methodology has been followed in order to analyse the literature and construct the maturity model. The results point out the two greater dimensions of OGD portals, naming traditional and advanced evolving within three generations. The developed maturity model will guide policy makers by firstly identify the current level of their organisation and secondly design an efficient implementation to the required state.","2017","2021-12-08 11:37:38","2021-12-08 11:37:38","","287-300","","","","","","Tracking the Evolution of OGD Portals","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","Maturity model; Open government data; Semantic Web","Janssen, Marijn; Axelsson, Karin; Glassey, Olivier; Klievink, Bram; Krimmer, Robert; Lindgren, Ida; Parycek, Peter; Scholl, Hans J.; Trutnev, Dmitrii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARDRUP7Z","journalArticle","2019","Aloufi, Khalid Saleh","Generating RDF resources from web open data portals","Indonesian Journal of Electrical Engineering and Computer Science","","","10.11591/ijeecs.v16.i3.pp1521-1529","","","2019","2021-12-08 11:37:38","2021-12-08 11:37:38","","1521-1529","","3","16","","","","","","","","","","","","","","","Dimensions","","","","/Users/timdavies/Zotero/storage/7LHSIKYE/Aloufi_2019_Generating RDF resources from web open data portals.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQIA9PCM","conferencePaper","2016","Amugongo, Lameck M.; Nggada, Shawulu H.; Sieck, Jürgen","Open Data Portal - A Technical Enabler to Drive Innovation in Namibia","2016 2nd International Conference on Open and Big Data (OBD)","","","10.1109/OBD.2016.19","","Promising a world of endless opportunities, open data is increasingly becoming a global phenomenon, attracting interests from many governments, such as the United States of America, Germany, United Kingdom, Canada and Kenya to mention a few. Furthermore, institutions such as the United Nations, World Bank and the African Development Bank. Seeking ways to harness value from open data, these countries and institutions have established open data portals to serve as technical enablers, easing access to public data and acting as one-stop shop for a wide variety of data ranging from environment, education, health, transportation, geo-location, budget, weather, consumer products and consumer finance. These portals do not only enable citizens to access a wide variety of datasets but through APIs allow citizens to transform the data into innovative applications or solutions that solve local challenges and societal problems, thus, improve quality of life for citizens. Sequel to the possibilities that surrounds open data portal, it will be helpful to have an open data portal in Namibia. Consequently, to bridge the gap between the citizens, data and information, an open data portal becomes necessary. In this paper we provide practical, yet technical insights on how an open data portal we developed will ease access to information and facilitate the development of innovative solutions that will aid communities in solving societal problems in Namibia.","2016-08","2021-12-08 11:37:38","2021-12-08 11:37:38","","80-86","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","accountability; Africa; Computer science; Government; innovation; Open data; portal; Portals; Publishing; service delivery; Technological innovation; transparency; Urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 2nd International Conference on Open and Big Data (OBD)","","","","","","","","","","","","","","",""
"THJ4FHN6","bookSection","2020","Anastasiu, Irina; Foth, Marcus; Schroeter, Ronald; Rittenbruch, Markus","From Repositories to Switchboards: Local Governments as Open Data Facilitators","Open Cities | Open Data: Collaborative Cities in the Information Era","9789811366055","","","https://doi.org/10.1007/978-981-13-6605-5_15","As the hype around the Open Data movement fades, the need emerges for the conceptualisation and realisation of more sustainable, equitable and accessible Open Data practices. In this chapter, we share insights from a Code for Australia fellowship conducted in South-East Queensland, Australia.Our contributions are threefold: first, we show how an exploratory and participatory approach to internal local council technology projects can serve to identify Open Data use-cases through the early involvement of local community stakeholders; second, we propose a novel role of the custodianship and facilitation of Open Data exchange and alternate composition for local governments; and third, we articulate the need and concept for co-creative practices across smart city business units, local government IT departments and civil society in particular to successfully deliver Open Data.","2020","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-16 18:22:42","331-358","","","","","","From Repositories to Switchboards","","","","","Springer","Singapore","en","","","","","Springer Link","","DOI: 10.1007/978-981-13-6605-5_15","","","","","Action research; Co-creation; Double diamond; Open Data; Participatory citymaking; Smart city","Hawken, Scott; Han, Hoon; Pettit, Chris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFHPNX8G","journalArticle","2021","Ansari, Bahareh; Barati, Mehdi; Martin, Erika G.","Enhancing the usability and usefulness of open government data: A comprehensive review of the state of open government data visualization research","Government Information Quarterly","","0740-624X","10.1016/j.giq.2021.101657","https://www.sciencedirect.com/science/article/pii/S0740624X21000939","Although open government data (OGD) are becoming widely available, they have not yet reached their full potential due to their limited use. Supplementing OGD with visualizations can make data more engaging, useful, and understandable. We synthesized the academic research on the development and evaluation of OGD visualizations in the IEEE Explore, Science Direct, and ACM Digital Library databases. Our findings suggest four streams of research: 1) description and evaluation of specific examples of OGD visualization, 2) general tools and frameworks, 3) users' needs assessments and evaluation of usability, and 4) other user-related outcomes. While there is a growing robust literature describing specific cases, further empirical research is needed on evaluating the usability of OGD visualizations and tools for different audiences. Promising strategies to enhance the usability and usefulness of OGD are to employ advanced OGD platforms with embedded visualizations and analytics tools and to collaborate with research centers on user studies to ensure that visualizations and analytic tools are useful for stakeholders.","2021-11-24","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-12-03 11:28:00","101657","","","","","Government Information Quarterly","Enhancing the usability and usefulness of open government data","","","","","","","en","","","","","ScienceDirect","","","","/Users/timdavies/Zotero/storage/KF9C749T/Ansari et al_2021_Enhancing the usability and usefulness of open government data.pdf","","","Citizen engagement; Data visualization; Design strategies; E-government; Information behavior; Information literacy; Open government data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXYJ87Z3","conferencePaper","2021","Antony, Solomon; Salian, Dharmender","Usability of Open Data Datasets","Conceptual Modeling","978-3-030-89022-3","","10.1007/978-3-030-89022-3_32","","‘Open data’ is the term used to describe the concept that data is available freely for anyone to use for analysis and research. Most democratic governments in the world have taken steps to publish public data under the ‘Open data’ umbrella. While it is a welcome step that can enable data analysis by citizen scientists, the quality and accessibility of open data datasets makes the process a bit challenging for those not trained in data management. Using concepts of structuredness of data, a dataset usability measurement is developed. Using a randomly selected set of datasets from a popular open data portal, an instrument is developed, validated, and applied. The paper ends with elaborating future research directions and listing recommendations for publishers of open data datasets.","2021","2021-12-08 11:37:38","2021-12-08 11:37:38","","410-422","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","Normal forms; Open data; Usability","Ghose, Aditya; Horkoff, Jennifer; Silva Souza, Vítor E.; Parsons, Jeffrey; Evermann, Joerg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWNYGETI","book","2018","Aquaro, Vincenzo","United Nations E-Government Survey 2018: Gearing e-government to support transformation towards sustainable and resilient societies","","978-92-1-123208-0","","","https://publicadministration.un.org/egovkb/Portals/egovkb/Documents/un/2018-Survey/E-Government%20Survey%202018_FINAL%20for%20web.pdf","","2018","2021-12-08 11:37:38","2021-12-08 11:37:38","","","269","","","","","","United Nations e-government survey","2018","","","United Nations","New York","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2XPKVSD","journalArticle","2015","Attard, Judie; Orlandi, Fabrizio; Scerri, Simon; Auer, Sören","A systematic review of open government data initiatives","Government Information Quarterly","","0740-624X","10.1016/j.giq.2015.07.006","https://www.sciencedirect.com/science/article/pii/S0740624X1500091X","We conduct a systematic survey with the aim of assessing open government data initiatives, that is; any attempt, by a government or otherwise, to open data that is produced by a governmental entity. We describe the open government data life-cycle and we focus our discussion on publishing and consuming processes required within open government data initiatives. We cover current approaches undertaken for such initiatives, and classify them. A number of evaluations found within related literature are discussed, and from them we extract challenges and issues that hinder open government initiatives from reaching their full potential. In a bid to overcome these challenges, we also extract guidelines for publishing data and provide an integrated overview. This will enable stakeholders to start with a firm foot in a new open government data initiative. We also identify the impacts on the stakeholders involved in such initiatives.","2015-10-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-16 14:23:31","399-418","","4","32","","Government Information Quarterly","","","","","","","","en","","","","","ScienceDirect","","","","/Users/timdavies/Zotero/storage/4HH3NTUU/Attard et al_2015_A systematic review of open government data initiatives.pdf","","","Consuming; Data portals; Government data; OGD life-cycle; Open data; Openness; Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
